County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
San Joaquin,460428.00,349707.00,143400.00,99566.00,9324.00,1015.00,2475.00,1380.00,1460.00,1057.00,90030.00
Percent,,0.76,0.41,0.28,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
San Luis Obispo,209497.00,170612.00,58493.00,58641.00,5278.00,1054.00,1786.00,371.00,559.00,1555.00,42875.00
Percent,,0.81,0.34,0.34,0.03,0.01,0.01,0.00,0.00,0.01,0.25
,,,,,,,,,,,
San Mateo,508316.00,404958.00,202341.00,60045.00,8252.00,1909.00,2453.00,959.00,1302.00,959.00,126738.00
Percent,,0.80,0.50,0.15,0.02,0.00,0.01,0.00,0.00,0.00,0.31
,,,,,,,,,,,
Santa Barbara,294880.00,218413.00,91696.00,55251.00,5614.00,1125.00,1756.00,571.00,860.00,1302.00,60238.00
Percent,,0.74,0.42,0.25,0.03,0.01,0.01,0.00,0.00,0.01,0.28
,,,,,,,,,,,
Santa Clara,1212034.00,895965.00,405470.00,151213.00,17775.00,3404.00,6148.00,2360.00,56.00,770.00,308769.00
Percent,,0.74,0.45,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.34
,,,,,,,,,,,
Santa Cruz,189924.00,161199.00,87412.00,22129.00,3503.00,1725.00,1467.00,538.00,35.00,910.00,43480.00
Percent,,0.85,0.54,0.14,0.02,0.01,0.01,0.00,0.00,0.01,0.27
,,,,,,,,,,,
Shasta,134143.00,101357.00,23139.00,46382.00,4104.00,380.00,1140.00,317.00,25.00,241.00,25629.00
Percent,,0.76,0.23,0.46,0.04,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Sierra,2622.00,2186.00,596.00,872.00,127.00,19.00,28.00,4.00,1.00,37.00,502.00
Percent,,0.83,0.27,0.40,0.06,0.01,0.01,0.00,0.00,0.02,0.23
,,,,,,,,,,,
Siskiyou,34504.00,27553.00,8152.00,10466.00,1282.00,193.00,338.00,126.00,118.00,72.00,6806.00
Percent,,0.80,0.30,0.38,0.05,0.01,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Solano,294649.00,236028.00,106452.00,50006.00,6746.00,882.00,1851.00,760.00,1268.00,1505.00,66558.00
Percent,,0.80,0.45,0.21,0.03,0.00,0.01,0.00,0.01,0.01,0.28
,,,,,,,,,,,
Sonoma,348819.00,277665.00,143054.00,49386.00,6866.00,2919.00,2371.00,702.00,957.00,1166.00,70244.00
Percent,,0.80,0.52,0.18,0.02,0.01,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Stanislaus,347498.00,251760.00,92669.00,86375.00,7427.00,688.00,1981.00,861.00,1263.00,2237.00,58259.00
Percent,,0.72,0.37,0.34,0.03,0.00,0.01,0.00,0.01,0.01,0.23
,,,,,,,,,,,
Sutter,60699.00,46787.00,13715.00,18102.00,1534.00,101.00,408.00,150.00,299.00,608.00,11870.00
Percent,,0.77,0.29,0.39,0.03,0.00,0.01,0.00,0.01,0.01,0.25
,,,,,,,,,,,
Tehama,43849.00,33329.00,8277.00,14138.00,1605.00,97.00,390.00,112.00,5.00,79.00,8626.00
Percent,,0.76,0.25,0.42,0.05,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Trinity,11301.00,7521.00,2351.00,2409.00,346.00,88.00,102.00,45.00,193.00,549.00,1438.00
Percent,,0.67,0.31,0.32,0.05,0.01,0.01,0.01,0.03,0.07,0.19
,,,,,,,,,,,
Tulare,267195.00,170399.00,52751.00,65388.00,5326.00,462.00,1343.00,482.00,846.00,313.00,43488.00
Percent,,0.64,0.31,0.38,0.03,0.00,0.01,0.00,0.00,0.00,0.26
,,,,,,,,,,,
Tuolumne,41070.00,32128.00,9208.00,13125.00,1209.00,169.00,364.00,95.00,3.00,40.00,7915.00
Percent,,0.78,0.29,0.41,0.04,0.01,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Ventura,551340.00,455730.00,179483.00,132378.00,10609.00,1798.00,3656.00,1201.00,4843.00,5641.00,116121.00
Percent,,0.83,0.39,0.29,0.02,0.00,0.01,0.00,0.01,0.01,0.25
,,,,,,,,,,,
Yolo,152159.00,112802.00,52995.00,21798.00,3046.00,786.00,959.00,417.00,522.00,527.00,31752.00
Percent,,0.74,0.47,0.19,0.03,0.01,0.01,0.00,0.00,0.00,0.28
,,,,,,,,,,,
Yuba,48403.00,33941.00,9076.00,12158.00,1647.00,135.00,407.00,193.00,209.00,117.00,9999.00
Percent,,0.70,0.27,0.36,0.05,0.00,0.01,0.01,0.01,0.00,0.29
,,,,,,,,,,,
State Total,25259865.00,19978449.00,8612368.00,4709851.00,517872.00,88771.00,153348.00,76784.00,67596.00,106194.00,5645665.00
Percent,,0.79,0.43,0.24,0.03,0.00,0.01,0.00,0.00,0.01,0.28
,,,,,,,,,,,
