County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
San Francisco,660296.00,500051.00,284218.00,33177.00,8040.00,4075.00,2983.00,1371.00,1922.00,1009.00,163256.00
Percent,,0.76,0.57,0.07,0.02,0.01,0.01,0.00,0.00,0.00,0.33
,,,,,,,,,,,
San Joaquin,458818.00,344891.00,143533.00,100460.00,9143.00,1035.00,2392.00,1324.00,1094.00,1081.00,84829.00
Percent,,0.75,0.42,0.29,0.03,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
San Luis Obispo,209049.00,172544.00,59530.00,60117.00,5288.00,1065.00,1760.00,371.00,497.00,1622.00,42294.00
Percent,,0.83,0.35,0.35,0.03,0.01,0.01,0.00,0.00,0.01,0.25
,,,,,,,,,,,
San Mateo,507576.00,399351.00,200913.00,60784.00,8121.00,1927.00,2393.00,919.00,876.00,876.00,122542.00
Percent,,0.79,0.50,0.15,0.02,0.00,0.01,0.00,0.00,0.00,0.31
,,,,,,,,,,,
Santa Barbara,294186.00,217417.00,92086.00,55810.00,5513.00,1120.00,1711.00,517.00,747.00,1338.00,58575.00
Percent,,0.74,0.42,0.26,0.03,0.01,0.01,0.00,0.00,0.01,0.27
,,,,,,,,,,,
Santa Clara,1208495.00,885764.00,403587.00,152914.00,17652.00,3418.00,6014.00,2264.00,73.00,1583.00,298259.00
Percent,,0.73,0.46,0.17,0.02,0.00,0.01,0.00,0.00,0.00,0.34
,,,,,,,,,,,
Santa Cruz,189838.00,159499.00,87066.00,22353.00,3442.00,1743.00,1452.00,519.00,18.00,951.00,41955.00
Percent,,0.84,0.55,0.14,0.02,0.01,0.01,0.00,0.00,0.01,0.26
,,,,,,,,,,,
Shasta,134126.00,101782.00,23649.00,46825.00,4135.00,389.00,1124.00,335.00,6.00,252.00,25067.00
Percent,,0.76,0.23,0.46,0.04,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Sierra,2622.00,2190.00,605.00,872.00,123.00,20.00,29.00,4.00,0.00,42.00,495.00
Percent,,0.84,0.28,0.40,0.06,0.01,0.01,0.00,0.00,0.02,0.23
,,,,,,,,,,,
Siskiyou,34508.00,27566.00,8274.00,10437.00,1283.00,215.00,344.00,130.00,88.00,66.00,6729.00
Percent,,0.80,0.30,0.38,0.05,0.01,0.01,0.00,0.00,0.00,0.24
,,,,,,,,,,,
Solano,294055.00,231510.00,105652.00,50074.00,6558.00,870.00,1797.00,734.00,1015.00,1371.00,63439.00
Percent,,0.79,0.46,0.22,0.03,0.00,0.01,0.00,0.00,0.01,0.27
,,,,,,,,,,,
Sonoma,349097.00,274292.00,142401.00,49768.00,6693.00,2949.00,2264.00,656.00,814.00,1147.00,67600.00
Percent,,0.79,0.52,0.18,0.02,0.01,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Stanislaus,346439.00,248466.00,92643.00,86627.00,7231.00,688.00,1914.00,845.00,982.00,2259.00,55277.00
Percent,,0.72,0.37,0.35,0.03,0.00,0.01,0.00,0.00,0.01,0.22
,,,,,,,,,,,
Sutter,60635.00,46087.00,13731.00,17989.00,1488.00,107.00,382.00,155.00,214.00,632.00,11389.00
Percent,,0.76,0.30,0.39,0.03,0.00,0.01,0.00,0.00,0.01,0.25
,,,,,,,,,,,
Tehama,43847.00,33286.00,8400.00,14210.00,1601.00,100.00,380.00,105.00,0.00,80.00,8410.00
Percent,,0.76,0.25,0.43,0.05,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Trinity,11301.00,7656.00,2401.00,2480.00,367.00,93.00,95.00,39.00,214.00,600.00,1367.00
Percent,,0.68,0.31,0.32,0.05,0.01,0.01,0.01,0.03,0.08,0.18
,,,,,,,,,,,
Tulare,266322.00,169367.00,52674.00,66371.00,5296.00,472.00,1337.00,434.00,587.00,309.00,41887.00
Percent,,0.64,0.31,0.39,0.03,0.00,0.01,0.00,0.00,0.00,0.25
,,,,,,,,,,,
Tuolumne,41054.00,31999.00,9396.00,13190.00,1237.00,177.00,362.00,88.00,3.00,36.00,7510.00
Percent,,0.78,0.29,0.41,0.04,0.01,0.01,0.00,0.00,0.00,0.23
,,,,,,,,,,,
Ventura,550773.00,448174.00,178374.00,132841.00,10524.00,1804.00,3600.00,1181.00,1711.00,5270.00,112869.00
Percent,,0.81,0.40,0.30,0.02,0.00,0.01,0.00,0.00,0.01,0.25
,,,,,,,,,,,
Yolo,151613.00,113642.00,53719.00,22219.00,3102.00,810.00,942.00,407.00,430.00,560.00,31453.00
Percent,,0.75,0.47,0.20,0.03,0.01,0.01,0.00,0.00,0.00,0.28
,,,,,,,,,,,
Yuba,48389.00,33754.00,9054.00,12213.00,1628.00,148.00,392.00,199.00,187.00,102.00,9831.00
Percent,,0.70,0.27,0.36,0.05,0.00,0.01,0.01,0.01,0.00,0.29
,,,,,,,,,,,
State Total,25200451.00,19696371.00,8557427.00,4735054.00,508364.00,89517.00,149095.00,74865.00,53864.00,108578.00,5419607.00
Percent,,0.78,0.43,0.24,0.03,0.00,0.01,0.00,0.00,0.01,0.28
,,,,,,,,,,,
